# target	passed	failed	source
adv_f4_false_refusal	13	0	sweep
adv_f5_probe	5	0	sweep
adv_f6_dropped_capture	3	0	sweep
adversarial_i20	14	0	sweep
agent_sql_surface	31	0	sweep
guard_precondition_probe	5	0	sweep
integration_alter_column	29	0	sweep
integration_alter_refusal_paths	9	0	sweep
integration_alter_refusal_safety	16	0	sweep
integration_arena_exclusivity	5	0	sweep
integration_base_backup	5	0	standalone re-run x2 (sweep verdict 4/1, load-starved)
integration_blind_writes	5	0	sweep
integration_branch_pages	10	0	sweep
integration_buffer_pool_concurrency	5	0	sweep
integration_capability_envelope	23	0	sweep
integration_cdc_cutover	4	0	sweep
integration_cdc_cutover_concurrent	1	0	sweep
integration_cdc_ddl	4	0	sweep
integration_cdc_diff	6	0	sweep
integration_cdc_drop_table	4	0	sweep
integration_cdc_duckdb_sink	5	0	sweep
integration_cdc_feed	2	0	sweep
integration_cdc_go_consumer	4	0	standalone re-run x2 (sweep verdict 3/1, load-starved)
integration_cdc_key_reuse	5	0	sweep
integration_cdc_latency	2	0	sweep
integration_cdc_publication	5	0	standalone re-run x2 (sweep verdict SILENT rc=143, load-starved)
integration_cdc_retract_by_model	3	0	sweep
integration_cdc_sink	3	0	sweep
integration_cdc_snapshot	3	0	sweep
integration_cdc_stream	2	0	sweep
integration_cdc_wide_types	14	0	sweep
integration_checkpoint_pressure	2	0	sweep
integration_cli_agent_isolation	6	0	sweep
integration_cluster_grants	35	0	sweep
integration_consensus_failover	1	0	standalone re-run x2 (sweep verdict 0/1, load-starved)
integration_cow_branch	3	0	sweep
integration_crash_safety	4	0	sweep
integration_ddl_refusal_atomicity	2	0	sweep
integration_disk_manager_concurrency	4	0	sweep
integration_durable_tel	3	0	sweep
integration_effect_log	3	0	sweep
integration_error_messages	7	0	sweep
integration_error_surface	10	0	sweep
integration_escrow	13	0	sweep
integration_executor_provenance	5	0	sweep
integration_flush_concurrency	3	0	sweep
integration_fulltext_retrieval	21	0	sweep
integration_index_debt	2	0	sweep
integration_logical_decoding	4	0	sweep
integration_merge_agreement	6	0	sweep
integration_merge_ddl_atomicity	9	0	sweep
integration_pgwire	6	0	sweep
integration_prompt_clause	8	0	sweep
integration_quarantine	8	0	sweep
integration_read_premise	3	0	sweep
integration_readme_commands	6	0	sweep
integration_replica_applier	11	0	sweep
integration_replica_divergence_is_durable	5	0	sweep
integration_replication_e2e	2	0	sweep
integration_replication_source	5	0	sweep
integration_run_identity_feed	11	0	sweep
integration_run_identity_log_readers	2	0	sweep
integration_runtime_concurrency	4	0	sweep
integration_runtime_reattach	4	0	sweep
integration_secondary_index_debt	4	0	sweep
integration_server_stdout	5	0	sweep
integration_simulate	24	0	sweep
integration_sql_on_durable_branches	4	0	sweep
integration_statement_atomicity	3	0	sweep
integration_system_views	21	0	sweep
integration_system_views_wire	1	0	sweep
integration_truncation_race	1	0	sweep
integration_trunk_tree_authority	3	0	sweep
integration_txn_concurrency	4	0	sweep
integration_wal_concurrency	3	0	sweep
integration_zero_copy_fork	6	0	sweep
lib	1116	0	sweep
prop_cow_diff	5	0	sweep
prop_escrow	4	0	sweep
prop_merge_algebra	11	0	sweep
prop_merge_outcomes	6	0	sweep
provenance_e2e	5	0	sweep
provenance_retention_wiring	11	0	sweep
provenance_scan_cascade	5	0	sweep
provenance_write_path_dependents	1	0	sweep
sim_durability	16	0	sweep
